菜名,工艺,口味,时间,难度,主料,辅料
烤红薯,烤,甜味,60分钟,新手尝试,['红薯 5个'],
香辣烤莲藕片,烤,香辣味,30分钟,初级入门,['莲藕 两节'],"['洋葱 半个', '生姜 适量', '干辣椒 适量', '葱白 适量', '小葱 适量', '辣椒粉 适量', '芝麻 适量', '蚝油 10克', '五香粉 2克', '酒酿 50克', '盐 少许', '孜然 1克', '花椒 1克', '白糖 10克']"
白糖醋猪肉,焖,家常味,5分钟,新手尝试,"['猪肉 300克', '葱白 适量', '生姜 适量']","['料酒 10克', '盐 2克', '鸡精 2克', '胡椒粉 2克', '淀粉 50克', '番茄酱 20克', '白糖 5克', '苹果醋 10克', '芝麻 适量']"
鱼香茄盒,炒,家常味,5分钟,新手尝试,"['茄子 300克', '猪肉 150克', '小麦面粉 100克', '鸡蛋 1个']","['盐 3克', '蚝油 5克', '料酒 10克', '淀粉 适量', '葱白 适量', '大蒜 适量', '酱油 15克', '苹果醋 20克', '白糖 5克']"
椒盐小黄鱼,炸,五香味,10分钟,未知,['小黄鱼 适量'],"['淀粉 适量', '椒盐 适量']"
乌梅扣肉,蒸,咸鲜味,60分钟,初级入门,"['猪肉 500克', '榨菜 100克']","['葱白 适量', '生姜 适量', '酱油 适量', '酱油 适量', '胡椒粉 适量', '白糖 适量', '盐 适量', '料酒 适量']"
照烧鸡腿饭,其它工艺,家常味,30分钟,中级掌勺,['鸡腿 4个'],"['酱油 8克', '料酒 10克', '蜂蜜 10克', '酱油 15克', '盐 少许', '葱白 适量', '生姜 适量', '胡椒 适量']"
卷煎,炒,家常味,5分钟,新手尝试,"['猪肉 200克', '千张 50克', '小葱 适量', '大蒜 适量']","['酱油 10克', '料酒 10克', '盐 3克', '五香粉 4克', '鸡精 3克', '淀粉 20克', '蚝油 5克']"
美味鱼香猪肉,炒,家常味,15分钟,初中水平,"['猪肉 250克', '黑木耳 50克', '胡萝卜 50克', '青椒 50克']","['豆瓣酱 20克', '白糖 20克', '醋 1茶匙', '酱油 1茶匙', '料酒 1茶匙', '盐 1茶匙', '淀粉 10克', '葱白 2根', '大蒜 4瓣', '生姜 3片']"
蚝油生菜,炒,家常味,15分钟,新手尝试,['生菜 100克'],"['大蒜 1瓣', '蚝油 5克', '花生油 5毫升', '白糖 5克']"
牛奶麻辣烫,煮,麻辣味,10分钟,未知,"['上海青 适量', '豆腐皮 1张', '山药 1根', '鱼丸 适量', '牛奶 1盒']","['花生油 25克', '料酒 25克', '黄油 15克', '芝麻酱 适量']"
西红柿炒鸡蛋,炒,家常味,10分钟,未知,"['西红柿 一个', '鸡蛋 三个']","['盐 适量', '料酒 适量', '葱白 适量']"
宫保鸡丁,炒,其他口味,60分钟,未知,['鸡腿 2只'],"['葱白 食指长1段', '生姜 1小块', '大蒜 2瓣', '干辣椒 15个', '花椒 25粒', '花生 30粒', '盐 2.5克', '白糖 1汤匙（15克）', '淀粉 4茶匙（20克）', '醋 1汤匙（15毫升）', '酱油 1茶匙（5毫升）', '酱油 2茶匙（10毫升）', '料酒 1茶匙（5毫升）', '水 2汤匙（30毫升）', '花生油 8汤匙（120毫升）']"
孜然烤肉串,烤,其它口味,30分钟,初级入门,"['鸡肉 适量', '辣椒 适量']","['洋葱 适量', '料酒 适量', '酱油 适量', '蚝油 适量', '盐 适量', '白糖 适量', '酱油 适量', '辣椒酱 两大勺', '芝麻 适量', '孜然 适量', '辣椒粉 适量']"
酸辣鸡胗,炒,酸辣味,5分钟,新手尝试,"['鸡胗 250克', '蒜薹 150克', '辣椒 2个']","['葱白 适量', '生姜 适量', '泡椒 适量', '酱油 15毫升', '料酒 20毫升', '白糖 20克', '盐 5克', '花生油 适量', '米醋 30毫升']"
酱爆鸡丁,炒,其他口味,30分钟,未知,"['鸡肉 1块', '黄瓜 1根(230克）']","['葱白 食指长1节', '淀粉 1汤匙', '白糖 1茶匙', '番茄酱 3汤匙', '料酒 1汤匙', '花生油 2汤匙']"
酒酿香卤鹌鹑蛋,煮,香辣味,30分钟,未知,"['鹌鹑蛋 500克', '香叶 3片', '豆瓣酱 10克', '鸡精 1克', '蚝油 6克', '干辣椒 3个', '冰糖 10克', '酱油 10克', '酱油 5克', '酒酿 500克', '盐 1克', '花椒 1克', '八角 2瓣', '白豆蔻 1个']",['桂皮 1块']
蒜薹猪肉,炒,家常味,10分钟,初级入门,"['蒜薹 300克', '猪肉 80克']","['花生油 2勺', '盐 1小勺', '酱油 少许', '酱油 少许', '白糖 少许', '料酒 少许', '淀粉 少许']"
拔丝芋头,炸,甜味,30分钟,新手尝试,"['芋头 500克', '淀粉 50克']","['花生油 200克', '白糖 65克']"
一碗芝麻酱锅里一倒，出锅太香了！鲜嫩入味,炖,家常味,15分钟,未知,"['鸡腿 1个', '土豆 1个', '洋葱 半个', '金针菇 1把']","['料酒 1勺', '酱油 2勺', '酱油 半勺', '蚝油 1勺', '花生酱 2勺', '芝麻酱 1勺']"
花生油焖虾,炒,家常味,10分钟,新手尝试,['皮皮虾 300克'],"['葱白 适量', '生姜 3片', '大蒜 2瓣', '酱油 一汤匙', '白糖 一小勺', '米醋 一小勺', '料酒 少许', '芝麻油 二汤匙']"
大蒜丝烤海鲜碗,烤,香辣味,30分钟,初级入门,"['粉丝 1把', '毛蛤蜊 300克', '基围虾 300克']","['大蒜 适量', '小葱 适量', '蚝油 5克', '酱油 10克', '盐 适量', '辣椒酱 20克', '料酒 10克', '胡椒粉 适量', '料酒 10克']"
香辣鱼头煲,煮,香辣味,60分钟,初级入门,"['鲢鱼 1个', '桂圆肉 6个', '豆腐 适量']","['水 适量', '芝麻油 适量', '青椒 适量', '干辣椒 适量', '葱白 适量', '生姜 适量', '大蒜 适量', '大蒜 适量']"
香菇虫草花蒸鸡肉,蒸,咸鲜味,60分钟,未知,"['鸡肉 500克', '虫草花 一把', '蛋黄 一个蛋黄的量', '香菇 6朵']","['生姜 半个', '花生油 1汤匙', '白糖 2克', '花生油 适量', '大蒜 半个', '葱白 适量', '盐 一茶匙', '料酒 1汤匙', '酱油 4汤匙', '蚝油 1汤匙', '小麦面粉 1汤匙', '胡椒粉 1茶匙']"
年夜菜硬菜之当归红枣炖羊肺,炖,咸鲜味,90分钟,新手尝试,['羊肺 700克'],"['红枣 10个', '当归 3克', '生姜 3片', '盐 5克', '胡椒粉 2克']"
老虎菜,拌,咸鲜味,10分钟,新手尝试,"['青椒 10克', '红椒 10克', '黄瓜 50克', '洋葱 50克', '葱白 10克', '香菜 5克']","['盐 1克', '酱油 15克', '醋 20克', '白糖 5克', '猪油 10克']"
红烧土豆,烧,咸鲜味,30分钟,初中水平,"['土豆 200克', '大蒜 3瓣', '生姜 1个']","['八角 1个', '花椒 6克', '酱油 90克', '盐 2克', '酱油 20毫升', '水 50毫升', '冰糖 10克', '淀粉 60克', '鸡精 4克', '花生油 4克']"
年夜饭快手下饭小炒：毛豆炒腊肉,炒,咸鲜味,10分钟,未知,"['毛豆 100克', '腊肉 50克']","['大蒜 1瓣', '辣椒酱 少许', '酒酿 少许']"
笋干炖猪肉,炖,咸鲜味,60分钟,新手尝试,"['芦笋 150克', '猪肉 600克', '葱白 1段', '生姜 1块']","['芝麻酱 1勺（15克）', '番茄酱 2勺（30克）', '桑葚酒 2勺（30克）']"
酱爆鸡丁,炒,家常味,15分钟,初级入门,"['鸡肉 1块', '黄瓜 半根', '胡萝卜 半根']","['盐 1勺', '料酒 2勺', '番茄酱 2勺', '白糖 适量', '淀粉 适量', '蛋黄 适量', '花生油 适量']"
无花生油无水三汁焖锅#最美不过中秋味#,焖,家常味,30分钟,新手尝试,"['鸡腿 3个', '土豆 11个', '洋葱 大半个', '青椒 各一个']","['酱油 2勺', '蚝油 2勺', '料酒 2勺', '芝麻酱 1勺', '花生酱 2勺', '白糖 2勺', '米醋 1大勺']"
水煮锤猪肉,煮,香辣味,30分钟,初级入门,['猪肉 300克'],"['料酒 10克', '蚝油 15克', '酱油 20克', '葱白 适量', '生姜 适量', '大蒜 适量', '豆瓣酱 辣椒粉', '干辣椒 适量', '小葱 适量', '淀粉 适量', '胡椒粉 适量']"
乌梅扣肉,蒸,家常味,30分钟,中级掌勺,['猪肉 500克'],"['冰糖 3小颗', '生姜 1块', '八角 2颗', '料酒 适量', '酱油 1茶匙', '酱油 适量', '白糖 1茶匙', '小葱 1把', '香叶 3片']"
贵妃鸡翅,烧,咸鲜味,15分钟,初级入门,"['鸡翅 8个', '酒酿 适量']","['生姜 1块', '大葱 1段', '盐 1勺', '胡椒粉 1小勺', '酱油 2勺', '酱油 半勺', '冰糖 25克']"
视频 蜜汁鸡翅,烧,家常味,30分钟,新手尝试,"['鸡翅 500克', '蚝油 15克', '大蒜 25克', '酱油 10克', '蜂蜜 15克', '盐 2克', '水 10克', '料酒 20克', '胡椒粉 3克', '胡椒粉 1克']",['芝麻 15克']
湖南小炒肉,炒,香辣味,10分钟,初中水平,"['猪肉 50克', '猪肉 160克', '青椒 150克', '红椒 1根']","['大蒜 少许', '豆豉 少许', '盐 少许', '芝麻油 适量', '酱油 1茶勺', '蚝油 1茶勺', '淀粉 少许']"
湖南小炒肉,炒,香辣味,10分钟,初中水平,"['大蒜 5克', '生姜 10克', '辣椒 15克', '红椒 15克', '猪肉 150克', '花生油 5毫升']","['酱油 6克', '豆豉 10克', '盐 2克', '白糖 3克', '酱油 5克']"
三杯鸡,炖,其他口味,60分钟,未知,"['鸡翅 6个', '鸡翅 6个']","['生姜 1小块', '大蒜 8瓣', '桑葚酒 4汤匙', '酱油 3汤匙', '酱油 1汤匙', '芝麻油 4汤匙', '花生油 3汤匙']"
不加一滴水の泰式椰香咖喱鱼,炖,咖喱味,30分钟,新手尝试,"['咸鱼 500克', '胡萝卜 200克', '莴笋 300克', '椰子 500毫升', '椰蓉 250毫升']","['咖喱 50克', '生姜 10克', '葱白 5克']"
荷塘小炒,炒,其他口味,15分钟,未知,"['荷兰豆 35个（80克）', '胡萝卜 中等大小半根（60克）', '黑木耳 10朵（5克）', '莲藕 1/4节（220克）', '山药 1节（150克）']","['大蒜 2瓣', '淀粉 1茶匙', '盐 1/2茶匙', '花生油 2汤匙']"
韭黄炒猪肉,炒,家常味,10分钟,初中水平,"['韭黄 200克', '猪肉 200克']","['芝麻油 适量', '盐 适量', '酱油 5克', '蚝油 5克']"
干锅千叶豆腐/豆腐,炒,家常味,5分钟,初级入门,['豆腐 一块'],"['猪肉 小把', '青椒 适量', '胡萝卜 适量', '蚝油 适量', '酱油 适量', '盐 适量', '鸡精 适量']"
鱼香猪肉,炒,家常味,15分钟,未知,"['猪肉 适量', '黑木耳 适量', '青椒 1个', '洋葱 少许', '胡萝卜 少许']","['淀粉 1勺', '醋 1勺', '盐 3克', '豆瓣酱 1勺', '料酒 1勺', '大蒜 适量']"
莴笋炒鸡蛋,炒,家常味,15分钟,未知,"['莴笋 半颗', '胡萝卜 半根', '黑木耳 5朵', '鸡蛋 2个']","['大蒜 2个', '干辣椒 2个']"
炒腊肉,炒,家常味,15分钟,新手尝试,"['青椒 15克', '腊肉 200克']","['生姜 5克', '花生油 5毫升', '盐 2克', '鸡精 1克']"
地三鲜,炒,其他口味,60分钟,未知,"['青椒 2个', '土豆 1个', '茄子 1根']","['葱白 食指长2段', '生姜 1小块', '大蒜 3瓣', '盐 1/2茶匙）', '白糖 1茶匙', '酱油 1汤匙', '花生油 汤匙']"
白糖醋猪肉,炒,家常味,5分钟,新手尝试,"['猪肉 300克', '葱白 15克', '大蒜 15克', '生姜 15克']","['盐 2克', '料酒 10克', '鸡蛋 1个', '小麦面粉 20克', '白糖 5克', '醋 10克']"
西湖醋鱼,炖,酸甜味,60分钟,中级掌勺,"['草鱼 1条', '水 适量']","['生姜 5克', '葱白 5克', '米醋 5克', '酱油 5克', '盐 2克', '白糖 8克', '料酒 8克', '花生油 5毫升']"
鱼香茄子白糖醋茄子，小美的美食,炒,酸甜味,10分钟,初级入门,['茄子 1根'],"['豆瓣酱 适量', '白糖 适量', '花生油 适量', '小麦面粉 适量', '醋 适量', '酱油 适量', '大蒜 适量', '红椒 适量', '青椒 适量']"
简简单单下饭菜：辣椒炒肉,炒,香辣味,15分钟,未知,"['猪肉 200克', '辣椒 6个', '料酒 35克']","['料酒 1勺', '亚麻籽油 一小勺', '淀粉 3克', '生姜 3片']"
红烧鱼块,烧,咸鲜味,30分钟,初级入门,['鲢鱼 1条'],"['花生油 5毫升', '生姜 5克', '葱白 10克', '干辣椒 5克', '八角 1个', '酱油 3克', '水 200毫升', '盐 2克', '白糖 2克']"
干锅手撕包菜,干锅,家常味,15分钟,初中水平,"['包菜 300克', '腊肉 100克']","['花生油 10克', '盐 1克', '酱油 3克', '花椒 10克', '黑木耳 40克']"
虾仁炒鸡蛋,炒,家常味,15分钟,未知,"['虾仁 100克', '鸡蛋 2个']","['青椒 3个', '辣椒 3个', '大蒜 3瓣']"
西烩牛肉,炖,家常味,30分钟,未知,['牛肉 500克'],"['胡萝卜 适量', '酱油 1勺', '酱油 适量', '鸡精 1勺', '葱白 适量', '生姜 适量', '八角 适量', '香叶 适量', '花椒 适量', '料酒 适量', '酱油 1勺', '盐 半勺']"
茼蒿猪肉营养羹,煮,家常味,10分钟,未知,"['茼蒿 250克', '猪肉 100克', '胡萝卜 80克']","['花生油 10克', '盐 适量', '鸡精 1克', '花椒 1克', '料酒 4克', '葱白 5克', '生姜 2克', '淀粉 10克']"
苋菜鱼,煮,酸辣味,30分钟,未知,"['咸鱼 一条', '苋菜 适量']","['料酒 适量', '胡椒粉 适量', '鸡精 少许', '淀粉 适量', '鸡蛋 一个', '干辣椒 三个', '花椒 一把', '葱白 二颗', '生姜 适量', '大蒜 适量', '盐 适量']"
盐焗鸡,焗,咸鲜味,2小时,初中水平,['田鸡 1个'],"['生姜 70克', '苏打粉 20克', '盐 10克']"
秘制卤叉烧,煮,酱香味,60分钟,中级掌勺,['猪肉 600克'],"['酒酿 1汤勺', '红景天 1勺', '白糖 1勺', '冰糖 适量', '盐 适量', '酱油 适量', '酱油 适量', '花生油 适量', '辣椒酱 2汤勺']"
鱼香茄子煲,烧,酱香味,30分钟,初级入门,"['茄子 2条', '猪肉 100克', '青椒 20克', '红椒 20克']","['大蒜 3瓣', '辣椒 1只', '小葱 2根', '豆瓣酱 1小勺', '白糖 1茶匙', '苹果醋 4汤匙', '酱油 2汤匙', '淀粉 适量', '花生油 适量']"
干煸四季豆,干煸,咸鲜味,10分钟,初中水平,"['四季豆 200克', '大蒜 适量', '辣椒 2根', '芝麻 适量']","['花生油 5毫升', '盐 3克', '蚝油 5克']"
中西合璧，制作客家小吃簸箕粄,蒸,咸鲜味,60分钟,未知,"['猪肉 200', '虾米 20', '包菜 100', '黄豆芽 100', '小葱 50', '胡萝卜 100', '玄米茶 适量']",['盐 适量']
川式猪肉,烧,家常味,30分钟,新手尝试,['猪肉 500克'],"['生姜 5克', '葱白 10克', '八角 2克', '桂皮 2克', '香叶 1克', '冰糖 250克', '花生油 7克', '芝麻 3克']"
香辣孜然烤羊排,烤,香辣味,60分钟,中级掌勺,['羊排 适量'],"['花椒 适量', '八角 适量', '孜然 适量', '料酒 适量', '洋葱 适量', '葱白 适量', '生姜 适量', '酱油 适量', '蚝油 适量', '辣椒酱 适量', '盐 适量', '芝麻 适量', '辣椒粉 适量']"
红烧鸭肉,焖,家常味,30分钟,未知,['鸭肉 半只'],"['生姜 2片', '盐 适量', '大蒜 4颗', '八角 1颗', '香叶 2片', '桂皮 4块', '花椒 少许', '酱油 1勺', '酱油 1勺', '料酒 1勺']"
蛤蜊的正确清洗方法,煮,咸鲜味,数天,未知,['蛤蜊 3斤'],['盐 适量']
胡萝卜茄子烧肉,烧,香辣味,60分钟,初级入门,"['猪肉 500克', '胡萝卜 1根', '茄子 1根']","['洋葱 适量', '大葱 适量', '小葱 适量', '辣椒 适量', '甜椒 适量', '红椒 适量', '酱油 适量', '蚝油 适量', '盐 适量', '料酒 适量']"
猪肉鸡蛋面条,煮,家常味,30分钟,初级入门,"['面条 400克', '西红柿 3个', '鸡蛋 3个']","['猪肉 适量', '盐 适量', '花生油 适量']"
胡萝卜烧肉皮,烧,家常味,60分钟,中级掌勺,"['猪皮 1000克', '胡萝卜 4个']","['花生油 2大勺', '生姜 3片', '八角 1个', '山葵 2个', '香叶 1片', '干辣椒 3个', '花椒 1小勺', '酱油 2勺', '酱油 3大勺', '豆瓣酱 2大勺', '醋 1勺', '盐 1大勺']"
【大吉大利】时蔬烤鸡肉,烤,咸鲜味,10分钟,初中水平,"['鸡肉 一块', '杏鲍菇 一个', '辣椒 一根', '青椒 一根']","['胡椒粉 少许', '生姜 三片', '大葱 一截', '花生油 适量', '孜然 一包']"
清炖全鸡,炖,咸鲜味,10分钟,新手尝试,['田鸡 1条'],"['黄芪 1克', '红枣 4克', '桂圆 4克', '香菇 60克', '生姜 10克', '料酒 10克', '枸杞子 1克']"
花生油淋风味茄子,蒸,大蒜香味,10分钟,未知,"['茄子 2根', '大蒜 一头']","['小葱 适量', '花生油 一勺', '酱油 两勺', '苹果醋 两勺', '蚝油 一勺', '盐 半勺', '白糖 一勺', '鸡精 半勺', '花生油 一勺']"
小葱土豆饼,炒,家常味,5分钟,新手尝试,"['土豆 1个', '胡萝卜 50克', '火腿 30克', '葱白 适量']","['盐 适量', '胡椒粉 适量', '小麦面粉 适量']"
白斩鸡,煮,其它口味,30分钟,新手尝试,['鸡肉 500克'],['生姜 10克']
干锅牛蛙,煲,咸鲜味,30分钟,初中水平,"['牛蛙 200克', '生姜 5克', '大蒜 5克', '豆瓣酱 25克']","['红椒 30克', '青椒 30克', '料酒 5克', '花生油 20毫升', '酱油 5克']"
微波炉茄子,微波,香辣味,5分钟,新手尝试,"['茄子 2根', '葱白 1根']","['大蒜 2个', '酱油 2勺', '辣椒 2个', '花生油 1勺', '蚝油 1勺']"
白糖醋猪肉,炒,其他口味,60分钟,未知,['猪肉 400克'],"['鸡蛋 1个', '葱白 食指长1段', '生姜 1小块', '盐 1/2茶匙', '白糖 5汤匙', '淀粉 80克', '米醋 5汤匙', '番茄酱 2汤匙', '酱油 1茶匙', '料酒 2茶匙', '水 1汤匙', '花生油 350毫升']"
电饭煲红焖鸡腿,煮,咸鲜味,60分钟,中级掌勺,['鸡腿 2个'],"['生姜 适量', '酱油 10克', '蚝油 5克', '料酒 10克', '蜂蜜 15克', '酱油 20克', '花生油 10克', '盐 少许', '小葱 适量', '辣椒粉 适量']"
扬州炒饭,炒,咸鲜味,15分钟,初级入门,"['大米 500克', '鸡蛋 1个', '火腿 1根']","['青豆 100克', '胡萝卜 100克', '玉米 100克', '大蒜 5克', '盐 5克', '蚝油 5克', '酱油 10克', '水 10克']"
鸡肉茄子饺子,煮,家常味,10分钟,新手尝试,"['小麦面粉 250克', '鸡肉 500克', '茄子 250克']","['葱白 适量', '生姜 适量', '花生油 10克', '盐 10克', '蚝油 3克', '酱油 5克', '醋 3克']"
简简单单也不失美味~~韭菜炒扇贝,炒,家常味,15分钟,初中水平,"['扇贝 150克', '韭菜 100克']","['花生油 5克', '盐 1克', '蚝油 3克', '料酒 10克', '生姜 10克']"
豆腐皮韭菜卷,烤,香辣味,10分钟,新手尝试,"['韭菜 一小把', '豆腐皮 一张']","['辣椒酱 一勺', '番茄酱 一勺', '辣椒酱 一勺', '孜然 一勺']"
胡萝卜酒酿鸭,焖,咸鲜味,30分钟,未知,"['鸭肉 400克', '胡萝卜 150克', '酒酿 500毫升']","['花生油 10毫升', '酱油 5毫升', '白糖 15克', '盐 10克', '生姜 5克', '大蒜 5克', '花椒 5克', '八角 5克', '香叶 2克', '料酒 5毫升']"
蛋羹蒸鲈鱼片,蒸,咸鲜味,15分钟,未知,"['鲈鱼 1条', '鸡蛋 1个']","['酱油 15毫升', '水 50毫升', '鸡精 3克', '芝麻油 5毫升', '葱白 1根']"
大蒜茼蒿,蒸,大蒜香味,5分钟,未知,['茼蒿 一把'],"['大蒜 一勺', '酱油 两勺', '苹果醋 两勺', '猪油 少许']"
回锅茄子,炒,家常味,30分钟,未知,"['茄子 2个', '土豆 2个']","['葱白 适量', '生姜 适量', '大蒜 适量', '青椒 少许', '料酒 少许', '五香粉 少许', '酱油 少许', '蚝油 少许', '盐 少许', '花生油 适量']"
酸辣牛肉,煮,红花生油味,15分钟,新手尝试,"['米粉 125克', '牛肉 1小块', '娃娃菜 3片', '香菇 2个', '榨菜 适量', '香菜 适量', '花生 适量', '花生油 适量', '白萝卜 适量']","['盐 适量', '酱油 适量', '料酒 适量', '醋 适量']"
莲藕片炒肉,炒,香辣味,30分钟,未知,"['莲藕 1个', '猪肉 60克']","['青椒 1个', '芝麻油 1勺', '生姜 2片', '豆瓣酱 1勺', '大葱 1段', '大蒜 2粒', '酱油 1勺', '盐 1/3匙']"
好吃的苋菜鱼做法，10分钟学会~苋菜鱼,煮,酸辣味,30分钟,未知,"['咸鱼 1条', '五香粉 1袋']","['葱白 适量', '生姜 适量', '鸡精 适量', '花椒 10粒', '大蒜 10个', '酒酿 1勺', '胡椒粉 1勺', '白糖 半勺', '料酒 2勺', '香菜 适量', '米醋 1勺']"
