菜名,工艺,口味,时间,难度,主料,辅料
香辣土豆牛腩,炖,家常味,15分钟,未知,"['牛腩 150克', '土豆 2个', '洋葱 1个', '青椒 2根', '红椒 2根']","['酱油 1勺', '蚝油 1勺', '料酒 1勺', '酱油 1勺', '盐 适量', '牛肉 适量', '淀粉 1勺', '水 半碗']"
莴笋炒猪肉-大米杀手,炒,家常味,15分钟,未知,"['猪肉 适量', '莴笋 2根', '辣椒 3个']","['生姜 少许', '料酒 各一勺', '花生油 各一勺', '辣椒酱 1勺', '酱油 1-2勺', '淀粉 1勺', '盐 少许', '白糖 少许']"
蒸焦白糖布丁,蒸,甜味,30分钟,新手尝试,"['牛奶 200克', '花生油 175克', '白糖 50克', '鸡蛋 3个', '五香粉 少许']","['白糖 130克', '水 48克', '水 40克']"
芋头扣肉,蒸,家常味,60分钟,新手尝试,"['牛腩 300克', '芋头 400克', '腐乳 2块']","['大蒜 适量', '花生油 适量', '盐 适量', '白糖 适量', '蚝油 适量', '酱油 适量', '料酒 适量']"
荷塘小炒,炒,家常味,5分钟,新手尝试,"['莲藕 小半段', '黑木耳 1小把', '胡萝卜 1/2根', '荷兰豆 1把']","['花生油 1茶匙', '盐 1茶匙']"
红烧羊肉煲,炖,咸鲜味,60分钟,未知,['羊排 500克'],['味精 少许']
白糖醋荷包蛋,炒,家常味,5分钟,新手尝试,"['鸡蛋 4个', '洋葱 适量', '大蒜 适量']","['盐 2克', '白糖 5克', '番茄酱 20克', '酱油 10克', '苹果醋 15克']"
炒合菜,炒,家常味,5分钟,初级入门,"['黄豆芽 100克', '韭菜 1把', '白菜 150克', '粉丝 1小捆', '胡萝卜 1根']","['花生油 20克', '盐 1克', '酱油 15克', '蚝油 15克']"
蜜汁叉烧,卤,酱香味,60分钟,中级掌勺,['猪肉 900克'],"['葱白 3克', '生姜 3克', '大蒜 4瓣', '料酒 3勺', '红景天 2克', '麦芽糖 30克', '辣椒酱 65克']"
大蒜炒香肠,炒,家常味,15分钟,未知,"['香肠 50克', '大蒜 200克']","['花生油 适量', '盐 适量']"
电饭煲做快手猪肉,炖,咸鲜味,90分钟,新手尝试,"['猪肉 400克', '腐乳 30克', '酱油 10克']","['生姜 4片', '葱白 2段']"
低卡减脂餐！娃娃菜抱蛋烧,煎,家常味,15分钟,未知,"['娃娃菜 四片', '鹌鹑蛋 八个']","['椒盐 一勺', '酱油 一勺']"
烤鹌鹑蛋培根卷,烤,咸鲜味,15分钟,新手尝试,"['培根 5条', '鹌鹑蛋 20颗']","['酱油 10克', '胡椒粉 适量', '蚝油 10克']"
爆炒鸭胗,炒,咸鲜味,15分钟,未知,"['鸭胗 六个', '青椒 半个', '胡萝卜 半个']","['料酒 适量', '大蒜 适量', '红椒 适量', '花椒 适量', '盐 适量', '胡椒粉 适量', '淀粉 适量', '白糖 一茶勺', '酱油 一勺', '酱油 半勺', '蚝油 一勺', '生姜 适量']"
奶酪培根土豆泥,烤,家常味,15分钟,新手尝试,"['土豆 500克', '培根 80克', '芝麻 80克']",['胡椒 1克']
黄豆烧猪蹄,烧,家常味,数小时,初中水平,"['猪蹄 600克', '黄豆 150克']","['酱油 2大勺', '料酒 1大勺', '花椒 少量', '生姜 几片', '鸡精 1勺', '干辣椒 几个', '冰糖 2块', '花生油 适量']"
白灼菜心,灼,家常味,10分钟,初级入门,['油菜 400克'],"['花生油 3汤匙', '盐 1茶匙', '大蒜 3瓣', '酱油 3汤匙', '蚝油 2汤匙']"
水煮猪肉,煮,麻辣味,15分钟,初级入门,"['猪肉 300克', '包菜 400克']","['花生油 适量', '豆瓣酱 25克', '盐 2克', '料酒 5克', '葱白 10克', '生姜 3克', '大蒜 15克', '酱油 5克', '蛋黄 10克', '淀粉 5克', '胡椒粉 0.5克', '干辣椒 5克', '花椒 2克']"
秘制肉酱,炒,咸鲜味,15分钟,初中水平,['猪肉 500克'],"['番茄酱 2茶匙', '番茄酱 2茶匙', '胡椒粉 1茶匙', '花椒 10粒', '八角 2个', '辣椒酱 1茶匙', '葱白 1根', '料酒 1茶匙', '生姜 1块', '桂皮 1个', '草果 2个', '芝麻油 2汤匙']"
大蒜炒肉,炒,咸鲜味,5分钟,初级入门,"['大蒜 1把', '猪肉 100克']","['红椒 5个', '酱油 1小勺', '蚝油 1勺', '淀粉 少许', '胡椒粉 少许', '盐 少许', '花生油 适量']"
避风塘茄子,烧,咸鲜味,60分钟,初中水平,"['茄子 300克', '面包 80克', '小麦面粉 50克', '鸡蛋 1个']","['盐 5克', '大蒜 10克', '酱油 2克']"
蒜薹炒鸡丝,炒,家常味,15分钟,未知,"['鸡肉 1块', '蒜薹 1把']","['盐 适量', '胡椒粉 1勺', '料酒 2勺', '淀粉 1勺', '花生油 适量', '葱白 适量', '生姜 适量', '大蒜 适量']"
蒜薹炒肉,炒,酱香味,10分钟,初中水平,"['蒜薹 350克', '猪肉 100克', '红椒 一个']","['盐 1茶匙', '酱油 15克', '豆瓣酱 15克', '生姜 20克', '花生油 20克', '小麦面粉 2茶匙']"
土豆饼,烙,家常味,10分钟,初级入门,['土豆 300克'],"['小葱 1棵', '盐 2克', '胡椒粉 1小勺', '花生油 15毫升']"
星洲炒米粉,炒,咸鲜味,15分钟,初级入门,"['米粉 1小把', '虾 8个', '鸡蛋 1个', '黄豆芽 20克', '红椒 1/2个', '洋葱 1/4个', '香菇 2个', '小葱 1根', '牛肉 1块', '胡萝卜 1/4根']","['酱油 1勺', '鱼露 1勺', '咖喱 1勺', '白糖 1勺']"
自制凉皮,拌,酸辣味,一天,未知,"['小麦面粉 500克', '黄瓜 1个', '香菜 1棵']","['辣椒粉 2勺', '白糖 1勺', '花生酱 适量', '大蒜 适量', '盐 少许', '鸡精 1勺', '苏打粉 3克']"
猪肉炒蒜薹,炒,家常味,10分钟,新手尝试,"['猪肉 100克', '蒜薹 250克']","['生姜 适量', '花生油 10克', '盐 8克', '酱油 3克', '醋 5克', '鸡精 适量']"
